#,Country,"GDP (nominal, 2022)",GDP growth,Population (2022),GDP per capita,Share of World GDP,Immunization (%),Death rate/1000 people,Birth rate/1000 people,Diabetes prevalence (% of population ages 20 to 79),Life expectancy,"Mortality rate, under-5 (per 1,000 live births)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Incidence of tuberculosis (per 100,000 people)",Population growth (annual %),"Population, total",Prevalence of undernourishment (% of population),Overall rank,Score_2016,Score_2017,Score_2018,Score_2019,Score_2020,Score_2021,Score_2022
84,Myanmar,59364362541,59.36 billion,3.00,54179306,1096,37.0,9.769,17.103,7.1,65.672,41.8,33.043,362.0,0.699278204,53798084,3.8,131.0,4.395,4.545,4.308,4.36,4.308,4.426,4.426
86,Sudan,51662241775,51.66 billion,-0.95,46874204,1102,84.0,6.799,33.596,18.9,65.267,54.9,79.908,58.0,2.70104594,45657202,11.9,,,,,,,,
87,Jordan,47451499859,47.45 billion,2.50,11285869,4205,77.0,3.868,21.95,15.4,74.256,14.6,25.369,4.2,1.989076856,11148278,,101.0,5.303,5.336,5.161,4.906,4.633,4.395,4.395
88,Tunisia,46664948952,46.66 billion,2.52,12356117,3777,97.0,7.884,16.093,9.6,73.772,16.3,6.685,36.0,0.82886347,12262946,3.0,124.0,5.045,4.805,4.592,4.461,4.392,4.596,4.596
89,Libya,45752336036,45.75 billion,-1.24,6812341,6716,73.0,6.018,17.828,8.7,71.911,10.8,6.93,59.0,1.214947645,6735277,8.4,72.0,5.615,5.525,5.566,5.525,5.489,5.41,5.41
90,Uganda,45559202049,45.56 billion,4.65,47249585,964,91.0,5.877,36.795,4.6,62.705,42.1,107.938,199.0,3.211427904,45853778,31.6,136.0,3.739,4.081,4.161,4.189,4.432,4.636,4.636
91,Bahrain,44390820479,44.39 billion,4.86,1472233,30152,98.0,2.479,11.926,11.3,78.76,6.9,8.676,15.0,-0.96602484,1463265,,37.0,6.218,6.087,6.105,6.199,6.227,6.647,6.647
92,Cameroon,44341646509,44.34 billion,3.54,27914536,1588,69.0,8.582,34.938,5.5,60.333,69.8,110.378,164.0,2.635819406,27198628,6.4,96.0,4.513,4.695,4.975,5.044,5.085,5.142,5.142
93,Bolivia,43068885673,43.07 billion,3.07,12224110,3523,70.0,9.945,21.836,5.5,63.63,24.7,63.792,107.0,1.193486719,12079472,19.4,61.0,5.822,5.823,5.752,5.779,5.747,5.716,5.716
94,Paraguay,41722295362,41.72 billion,0.08,6780744,6153,70.0,7.638,20.627,7.5,70.262,18.2,70.347,46.0,1.277616002,6703799,4.2,63.0,5.538,5.493,5.681,5.743,5.692,5.653,5.653
95,Latvia,41153912663,41.15 billion,1.98,1850651,22238,94.0,18.4,9.2,5.9,73.28292683,3.7,11.216,16.0,-0.843294678,1884490,2.5,53.0,5.56,5.85,5.933,5.94,5.95,6.032,6.032
96,Nepal,40828247302,40.83 billion,5.61,30547580,1337,91.0,7.776,20.402,8.7,68.45,27.2,63.837,226.0,2.311723712,30034989,5.4,100.0,4.793,4.962,4.88,4.913,5.137,5.269,5.269
97,Estonia,38100812959,38.10 billion,-1.29,1326062,28732,90.0,14.0,10.0,6.5,76.74146341,2.0,8.764,9.3,0.105996956,1330932,2.5,55.0,5.517,5.611,5.739,5.893,6.022,6.189,6.189
98,El Salvador,32488720000,32.49 billion,2.60,6336392,5127,78.0,8.661,16.025,6.3,70.748,12.4,55.89,38.0,0.340068122,6314167,7.7,35.0,6.068,6.003,6.167,6.253,6.348,6.061,6.061
99,Honduras,31717700115,31.72 billion,4.00,10432860,3040,77.0,5.608,21.071,5.1,70.123,16.6,71.972,30.0,1.535139668,10278345,18.7,59.0,4.871,5.181,5.504,5.86,5.953,5.919,5.919
100,Papua New Guinea,30633444295,30.63 billion,4.60,10142619,3020,31.0,6.683,25.514,16.7,65.351,42.8,55.25,432.0,2.02856054,9949437,23.4,,,,,,,,
101,Cambodia,29956769529,29.96 billion,5.16,16767842,1787,87.0,6.838,19.334,7.3,69.584,24.8,45.453,282.0,1.165135849,16589023,4.8,109.0,3.907,4.168,4.433,4.7,4.848,4.83,4.83
102,Zambia,29784454056,29.78 billion,4.74,20017675,1488,91.0,6.973,34.511,11.9,61.223,57.7,117.017,307.0,2.840805978,19473125,29.8,138.0,4.795,4.514,4.377,4.107,3.759,4.073,4.073
103,Cyprus,28439052741,28.44 billion,5.63,1251488,22724,96.0,7.257,10.313,8.6,81.203,2.8,6.827,4.4,0.53599943,1244188,2.5,49.0,5.546,5.621,5.762,6.046,6.159,6.223,6.223
104,Trinidad and Tobago,27899082337,27.90 billion,2.48,1531044,18222,94.0,9.131,11.687,12.7,72.971,16.3,38.132,13.0,0.493855745,1525663,12.2,,,,,,,,
105,Iceland,27841648044,27.84 billion,6.44,372899,74663,92.0,6.3,13.1,5.5,83.11707317,2.6,5.395,2.2,1.63931664,372520,2.5,4.0,7.501,7.504,7.495,7.494,7.504,7.554,7.554
106,Senegal,27684430244,27.68 billion,4.15,17316449,1599,85.0,5.922,32.573,3.1,67.093,38.6,66.454,113.0,2.645380545,16876720,5.7,111.0,4.219,4.535,4.631,4.681,4.981,5.132,5.132
107,Georgia,24605375420,24.61 billion,10.11,3744385,6571,85.0,15.166,13.412,5.7,71.694,9.5,31.654,64.0,-0.379636607,3708610,2.9,119.0,4.252,4.286,4.34,4.519,4.673,4.891,4.891
108,Bosnia and Herzegovina,24527507288,24.53 billion,3.90,3233526,7585,76.0,15.712,8.42,9.1,75.3,5.6,9.86,25.0,-1.440652596,3270943,2.5,78.0,5.163,5.182,5.129,5.386,5.674,5.813,
110,Guinea,21227749389,21.23 billion,4.70,13859341,1532,47.0,9.99,34.425,2.1,58.892,98.7,114.829,175.0,2.444317219,13531906,12.9,118.0,3.607,3.507,3.964,4.534,4.949,4.984,4.984
111,Gabon,21071739228,21.07 billion,3.04,2388992,8820,75.0,7.258,27.142,5.5,65.821,39.7,91.176,513.0,2.097988103,2341179,23.0,104.0,4.121,4.465,4.758,4.799,4.829,4.852,4.852
112,Zimbabwe,20678055598,20.68 billion,3.40,16320537,1267,88.0,9.057,30.537,2.1,59.253,49.5,94.312,194.0,2.045714878,15993524,38.4,146.0,4.193,3.875,3.692,3.663,3.299,3.145,3.145
113,Botswana,20352322157,20.35 billion,5.78,2630296,7738,95.0,9.461,23.576,5.2,61.141,34.9,49.324,228.0,1.636742755,2588423,22.9,148.0,3.974,3.766,3.59,3.488,3.479,3.467,3.467
114,Haiti,20253551885,20.25 billion,-1.68,11584996,1748,51.0,8.676,23.498,8.9,63.192,58.6,52.545,159.0,1.237298997,11447569,45.0,147.0,4.028,3.603,3.582,3.597,3.721,3.615,3.615
115,Armenia,19502783988,19.50 billion,12.60,2780469,7014,93.0,13.007,12.049,5.6,72.043,10.7,18.511,25.0,-0.522963243,2790974,2.5,116.0,4.36,4.376,4.321,4.559,4.677,5.283,5.283
117,Burkina Faso,18884619613,18.88 billion,1.48,22673762,833,91.0,8.958,35.541,2.1,59.27,82.6,110.509,45.0,2.650375915,22100683,16.2,115.0,3.739,4.032,4.424,4.587,4.769,4.834,4.834
118,Albania,18882095518,18.88 billion,4.84,2842321,6643,98.0,11.325,10.24,10.2,76.463,9.5,14.517,15.0,-0.926918062,2811666,4.1,107.0,4.655,4.644,4.586,4.719,4.883,5.117,5.117
119,Mali,18827176532,18.83 billion,3.69,22593590,833,77.0,9.274,41.643,2.1,58.941,97.1,150.062,50.0,3.157964369,21904983,12.8,128.0,4.073,4.19,4.447,4.39,4.729,4.723,4.723
120,Mozambique,17851491428,17.85 billion,4.15,32969518,541,61.0,8.793,36.598,3.3,59.325,69.6,165.778,361.0,2.842112349,32077072,30.5,123.0,,4.55,4.417,4.466,4.624,4.794,4.794
121,Malta,17765270015,17.77 billion,6.85,533286,33313,99.0,8.0,8.5,8.0,82.86097561,5.8,11.484,12.0,0.619810316,518536,4.6,22.0,6.488,6.527,6.627,6.726,6.773,6.602,6.602
122,Benin,17401746309,17.40 billion,6.25,13352864,1303,76.0,9.434,36.608,1.1,59.821,83.5,92.259,53.0,2.759705179,12996895,9.9,102.0,3.484,3.657,4.141,4.883,5.216,5.045,5.045
123,Jamaica,17097760745,17.10 billion,4.20,2827377,6047,90.0,8.797,11.712,11.1,70.5,12.4,32.764,3.2,0.257040922,2827695,8.3,56.0,5.51,5.311,5.89,5.89,5.89,6.309,6.309
124,Mongolia,16810883361,16.81 billion,4.85,3398366,4947,95.0,6.131,21.413,6.9,70.975,14.7,26.708,414.0,1.609371036,3347782,8.0,83.0,4.907,4.955,5.125,5.285,5.456,5.677,5.677
125,Brunei,16681531646,16.68 billion,-1.63,449002,37152,99.0,5.211,13.8,11.1,74.642,11.5,9.978,61.0,0.822461682,445373,,,,,,,,,
126,Laos,15724383783,15.72 billion,2.71,7529475,2088,75.0,6.613,21.973,6.2,68.061,42.5,73.175,143.0,1.433214065,7425057,4.7,105.0,4.876,,4.623,4.796,4.889,5.03,5.03
127,Nicaragua,15671583878,15.67 billion,3.75,6948392,2255,87.0,4.859,20.507,9.3,73.837,13.3,85.648,42.0,1.39120242,6850540,17.8,45.0,5.992,6.071,6.141,6.105,6.137,5.972,5.972
128,Guyana,15357537068,15.36 billion,57.80,808726,18990,98.0,9.987,20.298,11.7,65.673,27.7,66.556,64.0,0.919614739,804567,2.5,,,,,,,,
